country	un_status	encryption_gpd	gpd_licensing	gpd_import_export	gpd_other	dla_code	dla_last_modified	transfer	transfer_note	life_exception_in_dla	storage_rule	storage_note	health_sensitive	health_note
Kyrgyzstan	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	KG	4 February 2025	COND	allowed within and abroad; protecting data subject's interests is a ground	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	all personal data confidential; health listed as personal data
Lao People’s Democratic Republic	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	LA	27 March 2026	COND	consent plus receiving entity's protection; financial documents encrypted	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	history of medical treatment listed as important information
Latvia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	LV	4 February 2025	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Lebanon	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	LB	21 December 2022	FREE	law silent on cross-border transfers	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	health data processing under a Minister of Public Health decision
Lesotho	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	LS	16 March 2026	COND	SADC-transposed states or adequate protection	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Liberia	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	LR	23 February 2024	COND	no Liberian law; ECOWAS Act adequacy as secondary source	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	no Liberian law defines it
Libya	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	LY	18 January 2024	COND	Art 78 appropriate level of protection; first pass wrongly said FREE	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	medical records listed as personal data, not a sensitive category
Liechtenstein	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Lithuania	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	LT	3 February 2025	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Luxembourg	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	LU	4 February 2025	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Madagascar	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	MG	4 February 2025	COND	sufficient level of protection	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Malawi	member	Some restrictions	Section 54(1) of the Electronic Transactions and Cyber Security Act, 2016 prohibits the provision of cryptography services or products without registration. Applications must be made to the Malawi Communications Regulatory Authority (s.54(2)). The government must issue regulations (a) in respect of 	Section 54(1) of the Electronic Transactions and Cyber Security Act, 2016 prohibits the provision of cryptography services or products without registration. Applications must be made to the Malawi Communications Regulatory Authority (s.54(2)). The government must issue regulations (a) in respect of 	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Malaysia	member	Some restrictions	No known legislation or policies.	Sections 7 and 9 of the Strategic Trade Act 2010 prohibit the import and export of strategic goods and technology as determined by the Minister of International Trade and Industry. The Minister’s determination includes certain forms of encryption technology. A copy of the law can be found here . A c	No known legislation or policies.	MY	12 February 2026	COND	substantially similar laws or exceptions	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Maldives	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Mali	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Malta	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	Article 23(7) of the Electronic Commerce Act provides that no person shall use cryptographic or other similar techniques for any illegal purpose. Doing so is an offence punishable by imprisonment of up to two years and/or a fine of up to €250,000 (s. 24). A copy of the law can be found here .	MT	12 February 2026	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Marshall Islands	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Mauritania	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Mauritius	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	MU	16 March 2026	COND	proof of safeguards to the Commissioner, explicit consent, or necessity	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Mexico	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	MX	28 January 2024	COND	privacy notice passed to third party; consent rules	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	past or present health conditions
Micronesia (Federated States of)	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	FM	2 February 2026	FREE	none	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	none
Monaco	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	MC	6 February 2025	COND	equivalent protection and reciprocity; consent or to save the data subject's life	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Mongolia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	MN	20 March 2026	COND	prohibited unless approved under law or permitted by the data owner	no	GENERAL	data controller's processing server must be in Mongolia and accessible only from Mongolia	YES	health in Art 4.1.12
Montenegro	member	Widespread restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	ME	13 February 2026	AUTH	transfer subject to the DPA's approval	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Morocco	member	Widespread restrictions	Article 13 of Law No. 53-05 on the Electronic Exchange of Legal Data provides that, in order to prevent their use for illegal purposes and to preserve the interests of national defence and the internal or external security of state, the import, export, supply or use of cryptography means or services	Article 13 of Law No. 53-05 on the Electronic Exchange of Legal Data provides that, in order to prevent their use for illegal purposes and to preserve the interests of national defence and the internal or external security of state, the import, export, supply or use of cryptography means or services	Article 33 of Law No. 53-05 on the Electronic Exchange of Legal Data provides that, where encryption is used to commit a criminal offence, and the penalty is one of imprisonment, the maximum penalty for the offence is to be increased by between three and five years. Article 34 provides that where pe	MA	20 March 2026	AUTH	prior authorisation from the National Commission plus adequacy	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Mozambique	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	While not a restriction on encryption, Article 283 of the Code of Criminal Procedure provides that where documents which have been seized are encrypted, they must be examined by experts to decrypt them. A copy of the Code of Penal Procedure can be found (in Portuguese) here .	MZ	17 February 2026	COND	no general cross-border restriction; constitution requires consent for disclosure	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Myanmar	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	Section 69 of the Telecommunications Law provides that the disclosure of information which has been encrypted is only allowed in relation to a telecommunications-related matter prosecution and only when authorised by a court order. Breach of section 69 is a criminal offence punishable by up to one y	MM	11 February 2026	COND	consent by implication of relevant laws	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	no definition
Namibia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	NA	20 March 2026	FREE	no data transfer restrictions	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	not defined
Naoero	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Nepal	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	NP	20 March 2026	COND	no general transfer rule; cloud and data-centre services must be from government-listed providers	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Netherlands (Kingdom of the)	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	NL	18 January 2024	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
New Zealand	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	NZ	13 February 2026	COND	disclosure limited to purpose; safeguards	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Nicaragua	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	NI	28 January 2024	COND	prior consent of the data owner	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Niger	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	NE	6 January 2025	COND	superior or equivalent protection	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Nigeria	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	NG	17 March 2026	COND	adequacy or listed bases	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
North Macedonia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	MK	9 February 2026	AUTH	notify DPA 15 days ahead for EU/EEA/NATO; otherwise only if DPA deems adequate	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Norway	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	NO	16 January 2025	COND	GDPR via EEA; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Oman	member	Some restrictions	Article 48 of the Telecommunications Regulatory Act provides that encryption shall not be used in telecommunications or between computer networks without a license from the Minister. The license shall determine the persons who may operate and the conditions of operating, fees imposed for issue of li	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Pakistan	member	Widespread restrictions	The Pakistan Telecommunication Authority requires prior approval for the use of VPNs in their licensing agreements. A copy of the licence agreement template can be found here .	No known legislation or policies.	Regulation 5 of the Monitoring and Reconciliation of Telephony Traffic Regulations 2010 provides that licensed mobile and telephony service providers must establish systems for monitoring telecommunication traffic (voice and data). These systems must ensure that voice and data signalling information	PK	17 March 2026	COND	no data protection law in force; PECA bars transmitting identity information without consent; first pass wrongly said AUTH	no	DRAFT	draft PDPB would require critical personal data in Pakistan; not law	YES	confirmed by hand from the definition text
Palau	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Panama	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	PA	12 February 2026	COND	constitutional consent requirement	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Papua New Guinea	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Paraguay	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	PY	30 March 2026	FREE	only credit-data law regulates transfer; no other specific provisions	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Peru	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	PE	10 February 2026	COND	adequate protection; generally consent	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Philippines	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	PH	16 March 2026	COND	PIC remains accountable; data sharing and outsourcing arrangements	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Poland	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	PL	16 February 2026	COND	GDPR Ch V	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Portugal	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	PT	12 February 2026	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Qatar	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	QA	17 January 2024	COND	consent unless necessary for a lawful purpose	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Republic of Korea	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	KR	20 March 2026	COND	prior opt-in consent with statutory exceptions	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	health or medical treatment information
Republic of Moldova	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	MD	13 February 2026	COND	EU and adequate third countries; NCPDP list	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Romania	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	RO	6 January 2025	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Russian Federation	member	Widespread restrictions	Article 12 of Federal Law No. 128-FZ “On Licensing Specific Types of Activity” provides that a licence is required for distributing encryption facilities, maintaining encryption facilities, providing encryption services, and developing and manufacturing encryption facilities protected by means of en	No known legislation or policies.	No known legislation or policies.	RU	6 January 2025	AUTH	prior notice to Roskomnadzor for 34 white-listed states; approval needed for others (silence counts as approval); storage localisation checked separately	no	GENERAL	personal data of Russian individuals must be stored and processed in databases in Russia (2015 Data Localization Rule)	YES	confirmed by hand from the definition text
Rwanda	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	RW	6 January 2025	COND	NCSA authorisation with proof of safeguards, or consent, or necessity; storage localisation checked separately	yes	GENERAL	must store personal data in Rwanda unless holding a registration certificate authorising storage abroad (Art 50)	YES	confirmed by hand from the definition text
Saint Kitts and Nevis	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Saint Lucia	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Saint Vincent and the Grenadines	member	Some restrictions	Section 34 of the Electronic Communications Act 2007 establishes a register of all cryptography providers. Unless they are registered, a cryptography provide cannot provide cryptography products. A copy of the law can be found here .	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Samoa	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
San Marino	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Sao Tome and Principe	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	While not a restriction on encryption, Article 239 of the Code of Criminal Procedure provides that where documents which have been seized are encrypted, they shall be decrypted by an expert. A copy of the Code of Penal Procedure can be found (in Portuguese) here .			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Saudi Arabia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	SA	11 February 2026	COND	adequacy, appropriate safeguards or limited cases; must not compromise KSA vital interests; sector approvals	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Senegal	member	Some restrictions	Article 16 of the Law on Cryptography (Law No. 2008-41) provides that bodies exercising cryptology services must be licenced by the National Cryptology Commission. A copy of the law (in French) can be found here .	Article 12 of the Law on Cryptography (Law No. 2008-41) provides that the supply, import and export of means of cryptology ensuring exclusively the functions of authentication and integrity control are free. Article 14 provides, however, that the supply or importation of a means of cryptology which 	No known legislation or policies.	SN	19 March 2026	COND	sufficient protection; francophone DPA members presumed adequate	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Serbia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	RS	13 February 2026	COND	regime liberalised under the new DP Law; first pass matched the old law and wrongly said AUTH	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_STATED	DLA gives no sensitive-data definition
Seychelles	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	SC	16 March 2026	COND	adequate protection or safeguards	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	health data
Sierra Leone	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Singapore	member	Some restrictions	No known legislation or policies.	Section 5 of the Strategic Goods (Control) Act prohibits the export of strategic goods and technologies, as set out in orders published by the government. Section 4A of the Act allows the government to, by order, prescribe military or dual-use goods and technology as strategic goods and technology f	No known legislation or policies. Section 261C of the Copyright Act explicitly prohibits the use of decryption as a means to circumvent technological measures used to preserve copyright. Section 261D provides for various exceptions, including where it is done when undertaking research on any encrypt	SG	27 February 2026	COND	consent; written agreements with intermediaries; comparable protection abroad	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	no category in law; guidance treats health as sensitive
Slovakia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	SK	6 January 2025	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Slovenia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	SI	10 February 2026	COND	GDPR Ch V; first pass wrongly said AUTH	yes	HEALTH	records processed under the healthcare and mandatory health insurance laws (among others) must be kept in Slovenia	YES	via GDPR Art 9; DLA text omits the list
Solomon Islands	member	Minimal restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Somalia	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
South Africa	member	Some restrictions	Section 29 of the Electronic Communications and Transactions Act 25 of 2002: establishes a register of all cryptography providers. Unless they are registered, a cryptography provide cannot provide cryptography products. A copy of the law can be found here .	No known legislation or policies.	No known legislation or policies.	ZA	16 February 2026	COND	POPIA s72 adequate protection, consent or listed grounds	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
South Sudan	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Spain	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	ES	6 January 2025	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Sri Lanka	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	LK	17 February 2026	COND	PDPA conditions for cross-border flow	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Sudan	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Suriname	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Sweden	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	SE	13 February 2026	COND	GDPR Ch V; first pass wrongly said AUTH	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Switzerland	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	CH	6 January 2025	COND	adequacy list or safeguards; remote access from abroad counts as transfer	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Syrian Arab Republic	member	Widespread restrictions	Article 51(e) of the Telecommunication Law (Law No. 18 of 2010) prohibits telecommunications network operators, service providers, their affiliates, and the users of such services, from using encryption of telecommunications service devices without the approval of the Telecommunications Regulatory A	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Tajikistan	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	TJ	27 January 2025	COND	free to adequate countries; otherwise consent or treaty	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	only biometric data defined
Thailand	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	TH	14 February 2026	COND	adequacy per regulator's rules or exemptions incl. consent; first pass wrongly said LOCAL	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Timor-Leste	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Togo	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Tonga	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	TO	15 February 2022	FREE	none	no	NONE_FOUND	DLA mentions no storage-location rule in any section	NOT_DEFINED	none
Trinidad and Tobago	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	TT	26 January 2023	COND	comparable safeguards; Commissioner's list	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Tunisia	member	Some restrictions	Article 9 of the Telecommunications Code provides that the government may, by decree, set out the conditions and procedures for the use of encryption facilities or services through public telecommunications networks and the exercise of related activities. Article 4 of Decree N° 2008-2639 dated 21 Ju	Article 9 of the Telecommunications Code provides that the government may, by decree, set out the conditions and procedures for the use of encryption facilities or services through public telecommunications networks and the exercise of related activities. Article 4 of Decree N° 2008-2639 dated 21 Ju	No known legislation or policies.	TN	12 February 2026	AUTH	prior authorisation by the National Authority plus mandatory explicit consent; prohibited if it endangers Tunisia's vital interests	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Türkiye	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	TR	27 January 2025	COND	adequacy decision, safeguards or explicit consent	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Turkmenistan	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	TM	23 December 2022	LOCAL	consent required, and personal data transferred abroad must also be stored in Turkmenistan	no	GENERAL	personal data transferred abroad must also be stored in Turkmenistan	YES	medical conditions: collection prohibited except with consent or for healthcare
Tuvalu	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Uganda	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	UG	13 February 2026	COND	adequacy or consent; onward transfer needs consent; adequacy list not yet published; first pass wrongly said LOCAL	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Ukraine	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	UA	27 January 2025	COND	appropriate protection; EEA and Convention states	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	health; healthcare purposes an exemption
United Arab Emirates	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	While the legal basis is unknown, the Telecommunications Regulatory Authority has banned a number of Voice over Internet Protocol providers which use encryption, including Skype and WhatsApp.	AE	27 January 2025	COND	PDPL adequacy expected; other exceptions	no	HEALTH	ICT in Health Fields Law Art 13: health information may not be stored, processed or transferred outside the UAE except as allowed by Ministerial Decision 51/2021	YES	confirmed by hand from the definition text
United Kingdom of Great Britain and Northern Ireland	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	GB	24 February 2026	COND	UK GDPR Ch V	yes	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
United Republic of Tanzania	member	Some restrictions	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	TZ	24 March 2026	COND	adequacy or safeguards	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
United States of America	member	Minimal restrictions	No known legislation or policies.	The International Traffic in Arms Regulations (ITAR) and the Export Administration Regulations (EAR) both impose controls on the export of certain forms of encryption. The ITAR can be found here and the EAR can be found here.	No known legislation or policies.	US	31 March 2026	FREE	no general geographic restriction; some government records excepted; EO 14117 limits bulk sensitive data to countries of concern	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Uruguay	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	UY	6 March 2026	COND	adequacy or consent	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	confirmed by hand from the definition text
Uzbekistan	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	UZ	27 January 2025	COND	only to adequate states, list not adopted; storage localisation checked separately	no	GENERAL	Uzbek citizens' personal data stored on technical means physically in Uzbekistan (since 16 April 2021)	YES	confirmed by hand from the definition text
Vanuatu	member	Minimal restrictions	Section 24(1) of the Electronic Transactions Act allows the Minister to make regulations in relation to the use, import and export of encryption programmes and products, and to prohibit the export of encryption programmes and products. None, however, appear to have been made. A copy of the law can b	Section 24(1) of the Electronic Transactions Act allows the Minister to make regulations in relation to the use, import and export of encryption programmes and products, and to prohibit the export of encryption programmes and products. None, however, appear to have been made. A copy of the law can b	No known legislation or policies.			unknown	not covered by DLA Piper	unknown	unknown	not covered by DLA Piper	unknown	not covered by DLA Piper
Venezuela, Bolivarian Republic of	member	No information available	No known legislation or policies.	No known legislation or policies.	No known legislation or policies.	VE	12 December 2022	COND	TSJ principles against transfer to states without similar protection	no	NONE_FOUND	DLA mentions no storage-location rule in any section	YES	TSJ 1335/2011: medical record data under strictest handling
Viet Nam	member	Widespread restrictions	Article 31 of the Law on Network Information Security requires businesses trading in civil encryption products (defined as encryption products, technical equipment and cryptographic skills) to obtain a licence to do so from the Government Cipher Committee. To obtain a licence, a business must meet v	Article 34 of the Law on Network Information Security provides that the importation or exportation of cryptographic products by a company requires a licence. In order to obtain a licence, a company must hold a licence to trade in civil cryptographic products, the products must be certified as confor	Article 36 of the Law on Network Information Security requires organisations and individuals using a civil cryptographic product which is provided by a provider not licensed for trading in civil cryptographic products to declare it with the Government Cipher Committee. There are exceptions for diplo	VN	15 February 2026	AUTH	transfer impact assessment filed with the Ministry of Public Security; exemption for emergencies protecting life, health or property	yes	SECTOR_OTHER	certain online, social network and telecom services must store user data in Vietnam; Cybersecurity Law rules being updated (April 2026)	YES	confirmed by hand from the definition text
